Empresa;id_unico
CALDERERÍA MECANIZADA AITZGORRI, S.L.;ad69a7bf-87fd-4f3a-a0ba-e2a3a7db998b
TALLERES MECANICOS ARRI, S.COOP.;74cb219b-c65d-4a73-a076-8e5f48b9564e
CONSTRUCCIONES ELECTRICAS DE GUIPUZCOA, S.L.;5e58eb72-da6a-4f64-bd60-c0c1e39c7d19
DISPES DISTRIBUCION Y MANTENIMIENTO, S.L.;0d1a9e14-542f-4ac7-b5f3-70157e34791a
Ederfil Becker, SCOOP;983ccbc4-0fcd-404f-983a-f679dcb601b5
SMARTLOG SERVICES S.L.;bda9adb1-8450-4ccf-8a04-6290621195d4
TALLERES MECANICOS TELLERIA S.A.;4bee77b9-30db-4e2b-b140-7104d4333299
PLASNOR S.L;afc9b079-da98-42c1-a872-ca3216df99cf
TTT GOIKO S.A.;98e1d7b9-8ee9-4b76-8f69-f648b5493ec7
MEIN FUNDICION EN CASCARA S.A.;6b0a9e06-1e1f-4907-8b0d-a3ed2c201c0c
Sarralle S.L.;5e52d5db-9faa-41c0-a9fa-a908e07ab51e
Elkarmedia S.L.;10568cdd-ea17-4d17-b0b3-42ee1b45a08d
Carpinteria Biek S.L.;78d815ac-8558-4108-a1f3-2efae1dada01
Caldereria Pako S.L.;263f8a5f-8d0f-4f19-8306-a0934817a511
Domusa Calefaccion S.Coop;362cd6fe-e72c-4d3f-a64f-45650b6df79a
Ibarmia Innovatek S.L.;c08cbb59-6070-4cfa-ab99-d43c1754c16f
Mecanizados Tracer S.L.;b32f7b58-4360-4263-baa7-76826a49942f
Ekintza Lantegia S.A.;969c311d-dfd5-4bf9-befa-9efe118b546e
Alberdi Mekanizatu Lanak S.L.;1576176b-d32f-4987-bb1e-51f41651a61b
Elmubas Ibérica S.L.;4ba36672-96a7-4fbd-9c40-a96d7d554f61
Industrias Químicas Irurena S.A.;7fce57a2-2947-495f-9b15-870ef605d0ea
